,V1,V2
486,881,972
487,884,1286
488,886,334
489,886,621
490,887,1591
491,892,42
492,897,447
493,897,1101
494,900,1480
495,901,842
496,903,1510
497,903,559
498,908,504
499,910,1721
500,914,973
501,914,1641
502,915,1338
503,916,1498
504,916,940
505,916,1265
506,917,1638
507,918,108
508,918,249
509,920,929
510,922,824
511,922,278
512,922,1536
513,923,1239
514,935,739
515,935,468
516,941,386
517,943,483
518,945,1698
519,947,952
520,948,1165
521,948,1525
522,948,817
523,950,1068
524,950,568
525,950,1655
526,952,985
527,953,62
528,954,1818
529,955,812
530,956,247
531,962,77
532,962,724
533,964,1777
534,964,1254
535,964,374
536,964,410
537,966,266
538,968,1228
539,970,447
540,972,1645
541,975,585
542,983,542
543,985,1394
544,986,1515
545,987,829
546,987,1029
547,987,1581
548,988,968
549,989,215
550,990,151
551,991,1362
552,998,68
553,1002,1495
554,1003,200
555,1003,269
556,1003,516
557,1003,1041
558,1005,215
559,1007,483
560,1007,1413
561,1011,1065
562,1015,1772
563,1015,1065
564,1017,1415
565,1020,613
566,1020,315
567,1021,1126
568,1021,1479
569,1022,1619
570,1023,249
571,1023,411
572,1023,16
573,1023,23
574,1026,1765
575,1026,1325
576,1038,1101
577,1044,821
578,1047,1698
579,1052,495
580,1055,1665
581,1058,1839
582,1061,1698
583,1062,142
584,1064,1270
585,1065,1101
586,1068,231
587,1074,400
588,1075,185
589,1077,1021
590,1080,1415
591,1085,1436
592,1087,868
593,1087,1203
594,1091,1145
595,1092,1372
596,1093,915
597,1093,273
598,1095,1239
599,1099,900
600,1101,1225
601,1101,868
602,1101,1259
603,1103,1557
604,1104,1715
605,1105,1127
606,1108,6
607,1111,332
608,1111,12
609,1111,1291
610,1114,740
611,1114,577
612,1116,1495
613,1119,1523
614,1121,1217
615,1121,1340
616,1122,81
617,1122,1445
618,1122,596
619,1123,314
620,1123,944
621,1123,282
622,1125,1170
623,1135,1172
624,1136,1574
625,1138,1374
626,1144,1512
627,1144,893
628,1145,1143
629,1147,952
630,1152,1172
631,1153,1588
632,1153,1312
633,1153,1174
634,1158,1576
635,1158,1172
636,1158,1580
637,1158,1189
638,1160,332
639,1160,22
640,1160,1200
641,1161,306
642,1161,1121
643,1162,1499
644,1164,1482
645,1164,1563
646,1166,817
647,1166,1273
648,1166,274
649,1167,814
650,1168,1259
651,1168,1335
652,1170,1575
653,1170,1172
654,1173,1487
655,1173,1169
656,1173,1527
657,1173,1533
658,1173,608
659,1175,1603
660,1175,1200
661,1175,846
662,1176,34
663,1176,773
664,1183,1223
665,1183,1509
666,1183,1630
667,1186,822
668,1187,0
669,1193,1306
670,1194,1126
671,1197,1311
672,1199,1532
673,1203,964
674,1209,1528
675,1212,881
676,1215,1675
677,1216,1206
678,1218,1540
679,1219,1693
680,1225,1117
681,1228,1285
682,1229,874
683,1230,1557
684,1230,838
685,1231,410
686,1234,1638
687,1237,1538
688,1237,1131
689,1239,576
690,1245,1223
691,1245,938
692,1245,929
693,1245,1234
694,1249,1234
695,1249,904
696,1249,899
697,1251,276
698,1253,1540
699,1253,576
700,1256,713
701,1259,938
702,1264,1494
703,1264,1203
704,1264,596
705,1265,1498
706,1265,1274
707,1266,1250
708,1269,282
709,1272,1189
710,1272,805
711,1275,1523
712,1277,1139
713,1277,1129
714,1281,832
715,1282,1285
716,1282,912
717,1282,844
718,1283,1129
719,1287,1486
720,1287,576
721,1287,1576
722,1292,1294
723,1292,1139
724,1297,1483
725,1299,1470
726,1301,1211
727,1302,1223
728,1302,1315
729,1305,943
730,1305,1312
731,1308,1287
732,1309,1314
733,1310,1568
734,1310,3
735,1310,1259
736,1311,1232
737,1312,1571
738,1312,1154
739,1313,1734
740,1317,1185
741,1318,17
742,1324,1630
743,1324,1223
744,1324,1234
745,1326,912
746,1327,1465
747,1327,6
748,1328,1338
749,1328,476
750,1328,1612
751,1328,1239
752,1332,1264
753,1335,1202
754,1336,274
755,1337,1260
756,1338,1785
757,1338,1580
758,1345,1531
759,1346,1272
760,1346,1531
761,1348,596
762,1350,851
763,1355,784
764,1356,810
765,1356,814
766,1358,1189
767,1358,1273
768,1360,1737
769,1362,1532
770,1362,815
771,1363,820
772,1364,957
773,1366,581
774,1369,571
775,1371,900
776,1373,1220
777,1379,874
778,1382,970
779,1396,1118
780,1400,649
781,1401,928
782,1404,1480
783,1405,805
784,1411,910
785,1412,1260
786,1413,12
787,1414,923
788,1414,316
789,1415,1290
790,1416,1297
791,1417,862
792,1417,906
793,1421,1410
794,1421,1321
795,1422,916
796,1428,1520
797,1428,1228
798,1429,0
799,1434,916
800,1434,1297
801,1435,874
802,1435,1273
803,1437,1518
804,1438,815
805,1440,1178
806,1448,1623
807,1456,1764
808,1459,965
809,1462,1174
810,1462,1160
811,1466,773
812,1470,842
813,1470,1499
814,1471,884
815,1471,1574
